time_s,pdr,avg_latency_ms,jitter_ms,avg_queue_size,avg_energy
0.0,0.0,0.0,0.0,1.0,200000.0
0.02,0.5,4.41,0.0,0.0,199999.999955648
0.04,0.5,4.41,0.0,0.0,199999.99992968002
0.06,0.5,4.41,0.0,0.0,199999.99992968002
0.08,0.3333333333333333,4.41,0.0,0.0,199999.99992752
0.1,0.3333333333333333,4.41,0.0,0.0,199778.2291142395
0.12,0.3333333333333333,4.41,0.0,0.0,199778.2291142395
0.14,0.25,4.41,0.0,0.0,199778.22911207948
0.16,0.2,4.41,0.0,0.0,199778.2291077595
0.18,0.2,4.41,0.0,0.0,199778.2291077595
0.2,0.2,4.41,0.0,0.0,199556.45829447894
0.22,0.2,4.41,0.0,0.0,199556.45829447894
0.24,0.2,4.41,0.0,0.0,199556.45829447894
0.26,0.2,4.41,0.0,0.0,199556.45829447894
0.28,0.2,4.41,0.0,0.0,199556.45829447894
0.3,0.14285714285714285,4.41,0.0,0.0,199334.68747687843
0.32,0.125,4.41,0.0,0.0,199334.68746389443
0.34,0.25,4.536,0.1259999999999999,0.0,199334.68742494244
0.36,0.3333333333333333,4.603666666666667,0.1405046460283628,0.0,199334.68738599046
0.38,0.3333333333333333,4.603666666666667,0.1405046460283628,0.0,199334.68736002245
0.4,0.3333333333333333,4.603666666666667,0.1405046460283628,0.0,199112.91653375796
0.42,0.3333333333333333,4.603666666666667,0.1405046460283628,0.0,199112.91653375796
0.44,0.3333333333333333,4.603666666666667,0.1405046460283628,0.0,199112.91653375796
0.46,0.3,4.603666666666667,0.1405046460283628,0.0,199112.91653267795
0.48,0.3,4.603666666666667,0.1405046460283628,0.0,199112.91653267795
0.5,0.3,4.603666666666667,0.1405046460283628,0.0,198892.30871011617
0.52,0.3,4.603666666666667,0.1405046460283628,0.0,198892.30871011617
0.54,0.3,4.603666666666667,0.1405046460283628,0.0,198892.30871011617
0.56,0.3,4.603666666666667,0.1405046460283628,0.0,198892.30871011617
0.58,0.36363636363636365,4.66875,0.16587250374911439,0.0,198892.30868414816
0.6,0.36363636363636365,4.66875,0.16587250374911439,0.0,198671.70083561842
0.62,0.3333333333333333,4.66875,0.16587250374911439,0.0,198671.7008204744
0.64,0.3333333333333333,4.66875,0.16587250374911439,0.0,198671.7008204744
0.66,0.3333333333333333,4.66875,0.16587250374911439,0.0,198671.7008204744
0.68,0.3333333333333333,4.66875,0.16587250374911439,0.0,198671.7008204744
0.7,0.3333333333333333,4.66875,0.16587250374911439,0.0,198451.09299791264
0.72,0.3333333333333333,4.66875,0.16587250374911439,0.0,198451.09299791264
0.74,0.3333333333333333,4.66875,0.16587250374911439,0.0,198451.09299791264
0.76,0.3333333333333333,4.66875,0.16587250374911439,0.0,198451.09299791264
0.78,0.3076923076923077,4.66875,0.16587250374911439,0.0,198451.09299683265
0.8,0.26666666666666666,4.66875,0.16587250374911439,0.0,198230.48517211087
0.82,0.25,4.66875,0.16587250374911439,0.0,198230.48516995087
0.84,0.25,4.66875,0.16587250374911439,0.0,198230.48516995087
0.86,0.25,4.66875,0.16587250374911439,0.0,198230.48516995087
